frequency,raw,error,smoothed,error_smoothed,equalization,parametric_eq,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,-1.05,-5.11,-1.05,-5.11,5.11,4.75,1.64,4.06,4.06,4.06
20.20,-1.00,-5.07,-1.00,-5.07,5.07,4.74,1.69,4.07,4.07,4.07
20.40,-0.95,-5.03,-0.95,-5.03,5.03,4.74,1.74,4.08,4.08,4.08
20.61,-0.90,-4.99,-0.90,-4.99,4.99,4.73,1.80,4.09,4.09,4.09
20.81,-0.85,-4.94,-0.85,-4.94,4.95,4.72,1.85,4.10,4.10,4.09
21.02,-0.80,-4.90,-0.80,-4.91,4.91,4.71,1.91,4.11,4.11,4.10
21.23,-0.75,-4.86,-0.75,-4.87,4.87,4.70,1.97,4.11,4.11,4.11
21.44,-0.71,-4.83,-0.70,-4.83,4.82,4.68,2.03,4.12,4.12,4.13
21.66,-0.65,-4.78,-0.65,-4.78,4.78,4.67,2.09,4.13,4.13,4.13
21.87,-0.60,-4.74,-0.60,-4.74,4.73,4.65,2.16,4.14,4.14,4.14
22.09,-0.54,-4.68,-0.54,-4.68,4.69,4.63,2.22,4.14,4.14,4.14
22.31,-0.49,-4.64,-0.49,-4.64,4.64,4.61,2.29,4.15,4.15,4.15
22.54,-0.44,-4.58,-0.44,-4.59,4.58,4.58,2.36,4.15,4.15,4.15
22.76,-0.38,-4.54,-0.38,-4.53,4.53,4.56,2.43,4.15,4.15,4.16
22.99,-0.32,-4.48,-0.32,-4.48,4.48,4.53,2.50,4.15,4.15,4.16
23.22,-0.26,-4.42,-0.26,-4.42,4.42,4.51,2.58,4.16,4.16,4.16
23.45,-0.20,-4.37,-0.20,-4.36,4.37,4.48,2.65,4.17,4.17,4.16
23.69,-0.14,-4.31,-0.15,-4.31,4.32,4.45,2.73,4.17,4.17,4.16
23.92,-0.09,-4.26,-0.09,-4.26,4.26,4.41,2.81,4.17,4.17,4.16
24.16,-0.04,-4.21,-0.04,-4.21,4.21,4.38,2.89,4.17,4.17,4.17
