frequency,raw,error,smoothed,error_smoothed,equalization,parametric_eq,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,-1.05,-3.20,-1.05,-3.21,3.20,2.97,0.82,2.15,2.15,2.16
20.20,-1.00,-3.16,-1.00,-3.16,3.16,2.94,0.85,2.16,2.16,2.17
20.40,-0.95,-3.12,-0.95,-3.12,3.12,2.91,0.87,2.18,2.18,2.18
20.61,-0.90,-3.08,-0.90,-3.08,3.08,2.89,0.90,2.19,2.19,2.19
20.81,-0.85,-3.03,-0.85,-3.04,3.04,2.86,0.93,2.20,2.20,2.19
21.02,-0.80,-2.99,-0.80,-3.00,3.00,2.83,0.96,2.21,2.20,2.20
21.23,-0.75,-2.95,-0.75,-2.96,2.96,2.80,0.99,2.21,2.21,2.21
21.44,-0.71,-2.93,-0.70,-2.92,2.92,2.77,1.02,2.21,2.21,2.23
21.66,-0.65,-2.87,-0.65,-2.88,2.87,2.74,1.05,2.22,2.22,2.23
21.87,-0.60,-2.83,-0.60,-2.83,2.83,2.71,1.09,2.23,2.23,2.23
22.09,-0.54,-2.77,-0.54,-2.78,2.78,2.68,1.12,2.24,2.24,2.23
22.31,-0.49,-2.73,-0.49,-2.73,2.73,2.65,1.15,2.24,2.24,2.24
22.54,-0.44,-2.68,-0.43,-2.68,2.68,2.61,1.19,2.24,2.24,2.24
22.76,-0.38,-2.63,-0.38,-2.63,2.62,2.58,1.23,2.25,2.25,2.25
22.99,-0.32,-2.57,-0.32,-2.57,2.57,2.55,1.26,2.25,2.25,2.25
23.22,-0.26,-2.51,-0.26,-2.51,2.52,2.52,1.30,2.26,2.26,2.25
23.45,-0.20,-2.46,-0.20,-2.46,2.46,2.48,1.34,2.27,2.27,2.26
23.69,-0.14,-2.40,-0.14,-2.40,2.41,2.45,1.38,2.27,2.27,2.26
23.92,-0.09,-2.35,-0.09,-2.35,2.36,2.41,1.42,2.27,2.27,2.26
24.16,-0.04,-2.31,-0.04,-2.31,2.31,2.38,1.46,2.27,2.27,2.27
24.40,0.01,-2.27,0.01,-2.26,2.26,2.34,1.50,2.27,2.27,2.28
24.65,0.06,-2.22,0.07,-2.22,2.21,2.31,1.54,2.27,2.27,2.28
24.89,0.12,-2.16,0.12,-2.16,2.16,2.27,1.58,2.28,2.28,2.28
25.14,0.17,-2.11,0.17,-2.11,2.11,2.23,1.63,2.28,2.28,2.28
25.39,0.22,-2.06,0.22,-2.05,2.06,2.20,1.67,2.28,2.28,2.28
25.65,0.27,-2.01,0.28,-2.00,2.01,2.16,1.71,2.28,2.28,2.28
25.91,0.33,-1.95,0.33,-1.95,1.95,2.12,1.75,2.28,2.28,2.28
26.16,0.38,-1.90,0.38,-1.90,1.90,2.09,1.79,2.29,2.28,2.29
26.43,0.43,-1.86,0.43,-1.85,1.85,2.05,1.83,2.28,2.29,2.29
26.69,0.48,-1.80,0.48,-1.81,1.80,2.01,1.87,2.29,2.29,2.29
26.96,0.53,-1.75,0.53,-1.76,1.76,1.97,1.91,2.29,2.29,2.29
27.23,0.57,-1.71,0.58,-1.71,1.71,1.93,1.94,2.28,2.29,2.28
27.50,0.62,-1.66,0.62,-1.67,1.67,1.89,1.97,2.29,2.29,2.28
27.77,0.66,-1.63,0.66,-1.63,1.63,1.85,2.01,2.29,2.29,2.29
28.05,0.70,-1.59,0.71,-1.58,1.58,1.82,2.03,2.29,2.29,2.29
28.33,0.75,-1.54,0.75,-1.54,1.54,1.78,2.06,2.30,2.29,2.29
28.62,0.79,-1.50,0.79,-1.50,1.50,1.74,2.08,2.30,2.30,2.29
28.90,0.83,-1.47,0.83,-1.46,1.46,1.70,2.10,2.30,2.30,2.30
29.19,0.87,-1.43,0.87,-1.43,1.42,1.66,2.12,2.30,2.30,2.30
29.48,0.91,-1.39,0.91,-1.39,1.38,1.61,2.13,2.30,2.30,2.30
29.78,0.95,-1.35,0.95,-1.35,1.35,1.57,2.14,2.30,2.30,2.30
30.08,0.99,-1.31,0.99,-1.31,1.31,1.53,2.14,2.30,2.30,2.31
30.38,1.03,-1.26,1.03,-1.27,1.27,1.49,2.14,2.30,2.30,2.30
30.68,1.06,-1.23,1.07,-1.23,1.23,1.45,2.14,2.29,2.30,2.29
30.99,1.10,-1.19,1.10,-1.19,1.20,1.41,2.12,2.30,2.30,2.29
31.30,1.13,-1.16,1.13,-1.16,1.16,1.37,2.11,2.29,2.29,2.29
31.61,1.16,-1.13,1.16,-1.13,1.13,1.32,2.09,2.29,2.29,2.29
31.93,1.19,-1.09,1.19,-1.10,1.10,1.28,2.07,2.29,2.28,2.28
32.24,1.21,-1.08,1.22,-1.07,1.07,1.24,2.04,2.28,2.28,2.29
32.57,1.24,-1.03,1.24,-1.04,1.04,1.20,2.00,2.28,2.28,2.28
32.89,1.27,-1.00,1.27,-1.01,1.01,1.15,1.96,2.28,2.28,2.27
33.22,1.29,-0.98,1.29,-0.98,0.98,1.11,1.92,2.27,2.27,2.27
33.55,1.31,-0.96,1.32,-0.95,0.95,1.07,1.87,2.27,2.27,2.27
33.89,1.34,-0.93,1.34,-0.93,0.93,1.03,1.82,2.27,2.27,2.27
34.23,1.36,-0.90,1.36,-0.90,0.90,0.98,1.77,2.26,2.26,2.26
34.57,1.38,-0.87,1.38,-0.87,0.87,0.94,1.71,2.25,2.26,2.26
34.92,1.40,-0.84,1.41,-0.84,0.84,0.89,1.65,2.25,2.25,2.24
35.27,1.43,-0.82,1.43,-0.82,0.81,0.85,1.59,2.25,2.24,2.25
35.62,1.45,-0.78,1.45,-0.78,0.78,0.81,1.52,2.24,2.24,2.23
35.97,1.47,-0.76,1.47,-0.75,0.75,0.76,1.45,2.23,2.23,2.23
36.33,1.49,-0.72,1.49,-0.72,0.72,0.72,1.38,2.22,2.22,2.22
36.70,1.51,-0.69,1.51,-0.69,0.69,0.67,1.31,2.20,2.20,2.20
37.06,1.53,-0.66,1.53,-0.66,0.66,0.63,1.23,2.19,2.19,2.19
37.43,1.55,-0.63,1.55,-0.63,0.63,0.58,1.16,2.18,2.18,2.18
37.81,1.57,-0.59,1.57,-0.60,0.60,0.54,1.08,2.17,2.17,2.17
38.19,1.58,-0.57,1.59,-0.57,0.57,0.49,1.00,2.15,2.15,2.15
38.57,1.60,-0.54,1.60,-0.54,0.54,0.44,0.92,2.14,2.14,2.14
38.95,1.62,-0.51,1.62,-0.50,0.50,0.40,0.84,2.13,2.13,2.13
39.34,1.64,-0.46,1.64,-0.47,0.47,0.35,0.76,2.11,2.11,2.11
39.74,1.65,-0.44,1.66,-0.44,0.44,0.31,0.68,2.09,2.09,2.09
40.14,1.67,-0.41,1.67,-0.41,0.40,0.26,0.60,2.08,2.08,2.08
40.54,1.69,-0.37,1.69,-0.37,0.37,0.21,0.52,2.06,2.06,2.07
40.94,1.71,-0.33,1.71,-0.33,0.33,0.16,0.44,2.04,2.04,2.04
41.35,1.73,-0.30,1.73,-0.29,0.29,0.12,0.36,2.03,2.03,2.03
41.76,1.75,-0.25,1.75,-0.26,0.26,0.07,0.27,2.01,2.01,2.01
42.18,1.77,-0.22,1.77,-0.22,0.22,0.02,0.19,1.99,1.99,1.99
42.60,1.79,-0.17,1.79,-0.17,0.17,-0.03,0.11,1.97,1.97,1.97
43.03,1.81,-0.13,1.81,-0.13,0.13,-0.07,0.03,1.95,1.95,1.94
43.46,1.83,-0.09,1.83,-0.09,0.09,-0.12,-0.06,1.92,1.92,1.92
43.90,1.84,-0.05,1.85,-0.05,0.05,-0.17,-0.14,1.89,1.90,1.89
44.33,1.86,-0.01,1.86,-0.01,0.01,-0.22,-0.22,1.87,1.87,1.87
44.78,1.88,0.04,1.88,0.03,-0.03,-0.27,-0.30,1.85,1.85,1.84
45.23,1.90,0.07,1.90,0.08,-0.08,-0.32,-0.39,1.82,1.82,1.83
45.68,1.92,0.13,1.92,0.13,-0.12,-0.37,-0.47,1.80,1.80,1.79
46.13,1.93,0.17,1.93,0.17,-0.17,-0.42,-0.55,1.76,1.76,1.76
46.60,1.95,0.22,1.95,0.22,-0.22,-0.47,-0.63,1.73,1.73,1.73
47.06,1.97,0.27,1.97,0.27,-0.27,-0.52,-0.72,1.70,1.70,1.71
47.53,2.00,0.32,2.00,0.33,-0.33,-0.57,-0.80,1.67,1.67,1.68
48.01,2.03,0.40,2.03,0.39,-0.39,-0.63,-0.88,1.64,1.64,1.63
48.49,2.06,0.45,2.06,0.45,-0.45,-0.68,-0.96,1.61,1.61,1.61
48.97,2.08,0.51,2.09,0.51,-0.51,-0.73,-1.04,1.57,1.57,1.57
49.46,2.11,0.57,2.12,0.58,-0.58,-0.78,-1.13,1.53,1.54,1.54
49.96,2.15,0.66,2.15,0.65,-0.65,-0.84,-1.21,1.51,1.50,1.50
50.46,2.19,0.72,2.19,0.72,-0.72,-0.89,-1.29,1.48,1.48,1.47
50.96,2.23,0.79,2.23,0.79,-0.79,-0.94,-1.37,1.44,1.44,1.44
51.47,2.27,0.86,2.27,0.86,-0.86,-1.00,-1.45,1.41,1.41,1.41
51.99,2.31,0.94,2.31,0.94,-0.94,-1.05,-1.53,1.37,1.37,1.37
